age_of_driver
55
23
26
45
40
43
21
28
28
36
55
41
45
35
-1
27
25
24
22
24
53
44
58
49
50
38
35
32
37
47
34
-1
27
50
44
34
-1
19
40
60
45
36
75
32
25
29
23
37
30
29
24
21
25
-1
-1
26
38
23
41
45
51
53
26
30
17
50
49
49
75
43
43
62
69
27
40
57
43
-1
-1
31
-1
30
31
32
30
28
40
17
53
45
24
54
43
41
22
22
39
25
42
32
26
35
43
33
26
44
21
38
42
33
41
25
28
29
24
37
-1
22
25
-1
34
26
28
53
83
37
17
31
67
28
26
17
43
27
20
32
37
-1
22
23
24
20
27
23
35
30
64
62
29
22
47
24
-1
19
28
44
41
17
46
20
26
20
24
-1
24
24
28
47
26
-1
37
24
22
-1
40
-1
25
22
-1
61
18
42
26
-1
60
27
63
26
51
25
42
-1
61
28
55
46
22
26
-1
30
57
53
31
23
28
41
45
24
44
18
30
23
22
21
32
28
20
58
54
26
31
22
19
20
22
53
22
41
-1
24
46
43
-1
33
28
49
46
52
21
35
29
58
46
39
29
-1
26
-1
-1
29
-1
33
56
27
21
64
-1
29
34
31
34
22
-1
28
40
44
-1
18
32
31
-1
78
36
37
29
35
29
33
41
49
30
24
18
60
24
30
48
30
68
36
53
17
28
25
32
24
27
36
-1
54
23
32
26
46
39
39
61
30
19
12
23
30
20
23
39
-1
-1
35
41
51
42
22
25
22
20
22
29
30
45
25
28
56
23
27
40
23
42
20
28
27
27
28
22
74
26
26
36
28
41
-1
53
32
31
-1
27
35
41
28
16
40
63
-1
34
-1
23
48
32
42
39
31
57
30
-1
11
17
34
49
25
20
31
28
-1
23
43
-1
32
29
38
41
26
30
30
43
29
43
26
31
-1
43
38
30
-1
23
38
25
25
25
-1
20
31
31
-1
24
43
36
37
35
32
20
29
28
34
21
42
26
46
35
26
22
34
35
24
44
46
55
17
27
18
19
29
26
28
43
-1
29
25
23
42
39
23
25
19
23
-1
26
25
46
19
23
-1
56
33
45
49
-1
-1
22
26
45
-1
-1
55
32
18
31
-1
33
19
23
26
34
37
27
25
58
52
34
35
-1
54
50
-1
35
-1
38
39
34
20
34
22
36
20
26
34
23
61
41
43
25
18
50
42
46
29
-1
24
20
43
44
53
59
56
29
26
22
49
30
49
25
58
31
43
40
23
-1
25
31
22
22
71
23
42
23
33
68
-1
-1
24
62
33
-1
31
27
52
-1
-1
23
49
27
21
31
25
37
-1
24
41
46
37
29
44
47
24
36
17
20
22
49
-1
58
34
22
-1
68
31
41
36
-1
23
24
28
-1
-1
29
33
23
27
24
59
23
44
47
62
24
24
17
-1
61
31
27
42
27
32
32
26
21
33
39
35
41
39
22
26
20
52
35
24
37
-1
56
24
46
-1
24
29
29
29
53
56
23
42
43
22
26
42
41
49
28
33
51
16
29
17
25
31
19
22
26
32
-1
42
23
35
22
28
23
-1
29
33
50
-1
32
44
29
41
33
31
30
20
23
20
21
34
-1
24
30
31
26
29
65
-1
54
25
-1
-1
23
45
55
38
32
24
39
23
44
27
-1
25
28
25
34
26
-1
43
43
34
30
40
20
46
24
28
33
26
20
22
53
18
-1
18
41
-1
24
53
67
19
29
31
-1
34
50
25
44
58
23
28
22
28
46
-1
53
40
-1
-1
34
29
-1
35
16
22
66
22
-1
53
-1
56
23
23
22
43
21
19
75
27
54
-1
48
26
-1
28
-1
41
32
26
-1
43
22
36
-1
35
21
34
-1
27
34
20
31
38
42
43
35
20
29
51
24
-1
17
48
24
26
20
45
33
21
43
30
21
26
51
30
31
25
34
25
59
28
20
25
23
32
25
22
70
27
21
42
56
24
24
25
-1
24
19
22
21
57
21
25
18
26
19
21
25
28
25
66
49
55
40
40
36
43
23
52
27
24
37
33
24
-1
31
54
-1
-1
65
24
32
24
31
43
20
23
27
21
33
37
24
37
-1
25
29
24
29
-1
36
71
24
19
-1
32
53
25
29
29
-1
47
40
17
26
24
-1
30
28
34
29
23
20
30
21
25
22
51
21
28
-1
17
-1
68
25
29
37
25
33
55
53
15
33
27
30
53
49
28
31
21
28
50
-1
18
18
23
59
46
-1
34
35
39
43
39
36
30
53
-1
28
-1
23
17
34
21
25
-1
50
49
23
24
19
26
46
35
25
27
35
24
51
29
33
58
29
59
21
24
-1
25
24
25
50
32
48
32
23
45
48
17
30
-1
18
18
33
-1
23
35
26
27
46
-1
62
40
-1
33
34
24
51
-1
20
50
27
61
39
27
80
34
61
-1
56
51
40
28
26
37
24
51
21
20
30
29
43
29
38
43
27
18
74
57
37
35
-1
28
-1
-1
47
32
-1
74
54
47
19
52
60
-1
25
26
41
31
22
46
52
34
27
55
28
-1
-1
22
30
-1
25
31
47
-1
28
-1
20
23
42
-1
28
49
18
31
27
51
-1
44
39
44
35
67
25
30
-1
21
37
36
28
23
72
26
20
31
27
25
55
32
52
44
28
44
24
58
51
27
28
48
32
27
27
59
19
21
-1
22
-1
20
40
28
27
28
25
61
-1
-1
18
28
48
51
44
49
18
36
59
30
43
41
29
-1
27
42
36
36
23
36
47
24
29
61
30
18
-1
27
46
19
-1
21
-1
40
33
25
27
25
22
35
-1
21
39
38
49
29
-1
40
45
25
51
28
29
25
40
17
25
23
34
27
-1
25
29
22
33
20
50
49
18
41
38
42
26
22
-1
26
26
71
48
26
21
-1
-1
24
-1
28
31
62
-1
33
26
53
-1
60
35
27
58
30
35
26
30
28
34
52
-1
30
48
31
60
36
35
31
50
27
25
34
25
44
64
43
66
32
28
26
43
31
-1
-1
28
58
-1
39
-1
34
27
25
54
29
24
37
29
35
48
30
37
32
25
18
22
22
-1
-1
23
60
54
23
27
30
41
38
31
56
24
27
47
26
-1
39
21
44
43
28
27
50
-1
46
38
23
34
23
26
31
-1
51
-1
22
51
32
29
23
21
26
31
29
67
27
25
54
42
27
48
43
14
54
34
26
53
30
21
19
22
47
48
31
29
52
40
36
-1
50
25
49
-1
39
55
19
21
35
54
25
23
41
38
20
27
32
60
35
27
51
29
34
43
-1
53
56
28
38
43
27
25
30
32
29
29
28
27
39
25
45
28
26
25
-1
56
33
-1
33
56
17
30
25
23
61
43
43
38
35
31
-1
25
52
26
41
26
29
19
27
22
60
43
26
45
43
56
41
32
37
35
37
-1
66
45
27
23
52
42
49
30
21
26
26
35
47
64
39
28
17
-1
41
28
22
32
22
19
47
41
35
24
29
20
20
28
23
25
70
20
30
28
57
18
35
68
26
28
22
30
35
26
24
44
26
21
44
30
20
30
18
17
28
53
43
22
43
33
29
23
55
37
28
19
24
20
-1
42
20
30
43
20
37
25
19
-1
-1
25
39
-1
36
35
24
22
31
26
-1
17
-1
18
21
19
50
21
28
37
-1
10
17
18
-1
28
-1
34
22
32
19
55
48
32
28
58
24
27
41
35
23
50
27
34
47
-1
30
29
32
37
20
23
44
28
32
25
-1
66
25
43
37
23
34
46
37
49
37
49
43
-1
25
-1
47
43
27
23
40
21
54
23
22
-1
47
-1
20
26
25
52
51
33
18
45
22
48
51
43
40
23
22
42
28
62
24
51
34
28
47
28
20
30
-1
-1
23
24
25
41
25
-1
-1
26
48
34
-1
21
23
-1
27
28
23
24
18
-1
-1
84
-1
-1
25
38
34
30
-1
52
33
37
24
25
27
31
48
21
16
-1
25
46
49
30
-1
-1
40
22
-1
25
27
39
27
40
34
28
30
32
23
33
-1
-1
54
26
-1
21
52
33
70
36
31
22
23
45
28
32
23
30
17
22
-1
17
22
22
26
31
29
19
38
23
32
27
26
32
21
34
28
65
33
-1
30
77
34
50
27
-1
29
29
20
19
-1
34
44
30
24
27
39
53
37
28
47
49
44
22
-1
23
29
26
43
32
-1
36
50
18
17
28
47
21
25
20
-1
36
49
21
22
26
-1
26
69
47
39
62
27
24
25
40
45
-1
47
27
28
32
-1
34
-1
28
37
22
-1
-1
29
-1
-1
56
45
29
35
28
30
27
28
47
21
71
34
46
44
29
30
22
44
49
19
40
24
49
26
29
25
59
48
64
21
25
24
23
33
40
26
-1
23
19
52
37
16
33
54
38
34
26
42
22
-1
27
28
66
79
24
21
58
24
28
28
25
32
34
33
20
27
51
26
-1
30
50
36
50
43
32
33
34
39
30
22
-1
22
25
50
-1
48
48
61
22
22
-1
33
29
-1
18
36
28
19
26
-1
24
25
20
40
26
-1
22
47
-1
24
30
26
68
23
22
25
32
17
23
24
-1
40
32
36
24
36
39
-1
74
-1
59
53
28
42
30
-1
30
22
28
50
25
20
63
26
36
25
27
44
-1
24
46
-1
28
27
63
23
19
37
-1
40
25
24
25
33
36
27
23
26
-1
21
33
28
21
40
54
22
25
54
23
25
42
39
26
60
28
-1
55
32
18
-1
24
46
31
26
50
25
28
21
27
60
42
35
50
20
21
44
22
-1
26
-1
26
19
31
40
20
27
-1
27
22
23
25
32
39
-1
-1
35
26
32
65
33
23
47
22
30
34
